"No.","Time","Source","Destination","Protocol","Length","Info"
"1875","16.258301608","57.222.35.248","10.74.18.53","TCP","54","4760  >  80 [SYN] Seq=0 Win=512 Len=0"
"1876","16.268470927","31.27.253.210","10.74.18.53","TCP","54","4761  >  80 [SYN] Seq=0 Win=512 Len=0"
"1877","16.278662956","78.182.132.80","10.74.18.53","TCP","54","4762  >  80 [SYN] Seq=0 Win=512 Len=0"
"1878","16.288812578","210.157.69.3","10.74.18.53","TCP","54","4763  >  80 [SYN] Seq=0 Win=512 Len=0"
"1879","16.298988238","147.50.26.20","10.74.18.53","TCP","54","4764  >  80 [SYN] Seq=0 Win=512 Len=0"
"1880","16.309132990","179.26.150.225","10.74.18.53","TCP","54","4765  >  80 [SYN] Seq=0 Win=512 Len=0"
"1881","16.319309876","126.124.132.181","10.74.18.53","TCP","54","4766  >  80 [SYN] Seq=0 Win=512 Len=0"
"1882","16.329492894","182.248.243.120","10.74.18.53","TCP","54","4767  >  80 [SYN] Seq=0 Win=512 Len=0"
"1883","16.339653309","30.233.145.27","10.74.18.53","TCP","54","4768  >  80 [SYN] Seq=0 Win=512 Len=0"
"1884","16.349832539","218.61.63.184","10.74.18.53","TCP","54","4769  >  80 [SYN] Seq=0 Win=512 Len=0"
"1885","16.359944113","35.2.89.192","10.74.18.53","TCP","54","4770  >  80 [SYN] Seq=0 Win=512 Len=0"
"1886","16.370157724","3.10.253.164","10.74.18.53","TCP","54","4771  >  80 [SYN] Seq=0 Win=512 Len=0"
"1887","16.380336543","150.139.255.7","10.74.18.53","TCP","54","4772  >  80 [SYN] Seq=0 Win=512 Len=0"
"1888","16.390548689","64.175.233.134","10.74.18.53","TCP","54","4773  >  80 [SYN] Seq=0 Win=512 Len=0"
"1889","16.400696076","179.155.63.19","10.74.18.53","TCP","54","4774  >  80 [SYN] Seq=0 Win=512 Len=0"
"1890","16.410871602","116.162.54.128","10.74.18.53","TCP","54","4775  >  80 [SYN] Seq=0 Win=512 Len=0"
"1891","16.421050148","150.160.162.121","10.74.18.53","TCP","54","4776  >  80 [SYN] Seq=0 Win=512 Len=0"
"1892","16.431225367","193.133.26.230","10.74.18.53","TCP","54","4777  >  80 [SYN] Seq=0 Win=512 Len=0"
"1893","16.441369045","183.155.124.155","10.74.18.53","TCP","54","4778  >  80 [SYN] Seq=0 Win=512 Len=0"
"1894","16.451634785","144.73.119.169","10.74.18.53","TCP","54","4779  >  80 [SYN] Seq=0 Win=512 Len=0"
"1895","16.461783842","5.34.162.73","10.74.18.53","TCP","54","4780  >  80 [SYN] Seq=0 Win=512 Len=0"
"1896","16.471898844","220.124.100.41","10.74.18.53","TCP","54","4781  >  80 [SYN] Seq=0 Win=512 Len=0"
"1897","16.482074231","45.61.253.231","10.74.18.53","TCP","54","4782  >  80 [SYN] Seq=0 Win=512 Len=0"
"1898","16.492249640","50.175.112.16","10.74.18.53","TCP","54","4783  >  80 [SYN] Seq=0 Win=512 Len=0"
"1899","16.502422816","113.184.28.202","10.74.18.53","TCP","54","4784  >  80 [SYN] Seq=0 Win=512 Len=0"
"1900","16.512607303","28.94.159.64","10.74.18.53","TCP","54","4785  >  80 [SYN] Seq=0 Win=512 Len=0"
